customer_id,lifetime_spend,order_frequency,segment
CUST000001,159387.89,5,VIP
CUST000002,223498.9,6,VIP
CUST000003,77470.32,4,VIP
CUST000004,75311.88,3,VIP
CUST000005,95337.31,3,VIP
CUST000006,147283.41,5,VIP
CUST000007,145165.13,4,VIP
CUST000008,158515.84,5,VIP
CUST000009,264287.57,8,VIP
CUST000010,40493.38,2,VIP
CUST000011,72848.95,2,VIP
CUST000012,68659.39,4,VIP
CUST000013,210493.4,8,VIP
CUST000014,52953.41,3,VIP
CUST000015,56438.21,3,VIP
CUST000016,69465.93000000001,2,VIP
CUST000017,62185.57000000001,4,VIP
CUST000018,61603.32000000001,3,VIP
CUST000019,135579.08000000002,4,VIP
CUST000020,94666.42,3,VIP
CUST000021,145576.56,4,VIP
CUST000022,179796.62,7,VIP
CUST000023,44630.32,4,VIP
CUST000024,102419.18,3,VIP
CUST000025,106021.31,3,VIP
CUST000026,218953.45,10,VIP
CUST000027,30389.64,2,VIP
CUST000028,160248.5,7,VIP
CUST000029,153804.19,5,VIP
CUST000030,43486.75,2,VIP
CUST000031,32335.850000000002,2,VIP
CUST000032,16529.01,1,VIP
CUST000033,176583.3,4,VIP
CUST000034,161909.58000000002,4,VIP
CUST000035,134486.80000000002,7,VIP
CUST000036,118390.81,4,VIP
CUST000037,155901.58,5,VIP
CUST000038,37087.45,1,VIP
CUST000039,116159.76000000001,4,VIP
CUST000040,49837.32,1,VIP
CUST000041,120865.4,5,VIP
CUST000042,276516.33999999997,10,VIP
CUST000043,64338.85,4,VIP
CUST000044,71629.40000000001,5,VIP
CUST000045,8064.05,2,VIP
CUST000046,197973.12,8,VIP
CUST000047,47534.170000000006,5,VIP
CUST000048,86485.7,4,VIP
CUST000049,48749.08,2,VIP
CUST000050,175716.48,6,VIP
CUST000051,50285.58,2,VIP
CUST000052,5834.99,1,VIP
CUST000053,142933.24,4,VIP
CUST000054,146720.63,6,VIP
CUST000055,152071.23,7,VIP
CUST000056,67299.8,2,VIP
CUST000057,87918.54000000001,4,VIP
CUST000058,100753.08000000002,4,VIP
CUST000059,62527.490000000005,6,VIP
CUST000060,253051.92,6,VIP
CUST000061,66882.95,5,VIP
CUST000062,41340.28,2,VIP
CUST000063,86273.87,5,VIP
CUST000064,171078.66999999998,5,VIP
CUST000065,100005.68,5,VIP
CUST000066,55729.880000000005,2,VIP
CUST000067,94439.95,5,VIP
CUST000068,169284.97,6,VIP
CUST000069,44191.049999999996,2,VIP
CUST000070,123643.57,5,VIP
CUST000071,96282.70999999999,4,VIP
CUST000072,89693.12,5,VIP
CUST000073,170891.77,6,VIP
CUST000074,111726.64,3,VIP
CUST000075,126646.03,5,VIP
CUST000076,85150.37,4,VIP
CUST000077,85226.31,4,VIP
CUST000078,112533.55,5,VIP
CUST000079,168045.62,6,VIP
CUST000080,18396.05,2,VIP
CUST000081,156927.53,6,VIP
CUST000082,144614.25,4,VIP
CUST000083,145300.22,5,VIP
CUST000084,133440.38,6,VIP
CUST000085,53347.409999999996,3,VIP
CUST000086,95263.2,4,VIP
CUST000087,123165.1,4,VIP
CUST000088,97451.06,3,VIP
CUST000089,142461.75,7,VIP
CUST000090,56118.78,2,VIP
CUST000091,146456.46,5,VIP
CUST000092,147305.65,5,VIP
CUST000093,33181.21,3,VIP
CUST000094,119783.47,4,VIP
CUST000095,103661.15,5,VIP
CUST000096,9202.93,2,VIP
CUST000097,149059.37,6,VIP
CUST000098,65604.48,3,VIP
CUST000099,84709.27,3,VIP
CUST000100,96163.05,4,VIP
CUST000101,270771.58,8,VIP
CUST000102,134206.39,5,VIP
CUST000103,50418.39,2,VIP
CUST000104,83963.63,6,VIP
CUST000105,105629.13,4,VIP
CUST000106,153785.35,5,VIP
CUST000107,52519.22,2,VIP
CUST000108,168159.49,7,VIP
CUST000109,49036.95,1,VIP
CUST000110,135285.38,7,VIP
CUST000111,37601.67,3,VIP
CUST000112,135576.87,4,VIP
CUST000113,143634.96,5,VIP
CUST000114,15898.17,2,VIP
CUST000115,86205.65,3,VIP
CUST000116,161660.7,5,VIP
CUST000117,96698.98000000001,3,VIP
CUST000118,16755.69,1,VIP
CUST000119,116771.21,4,VIP
CUST000120,70359.58,4,VIP
CUST000121,209652.08000000002,7,VIP
CUST000122,127127.16,4,VIP
CUST000123,92859.94,4,VIP
CUST000124,78363.08,3,VIP
CUST000125,158631.7,5,VIP
CUST000126,154869.53,4,VIP
CUST000127,54641.16,2,VIP
CUST000128,148176.65,7,VIP
CUST000129,66306.86,3,VIP
CUST000130,51999.77,4,VIP
CUST000131,88651.9,5,VIP
CUST000132,149925.61000000002,5,VIP
CUST000133,64538.9,3,VIP
CUST000134,64904.74,2,VIP
CUST000135,101021.62,4,VIP
CUST000136,87228.59,3,VIP
CUST000137,104299.70999999999,5,VIP
CUST000138,177246.08000000002,7,VIP
