order_date_only,total_revenue,order_count,avg_order_value
2025-01-01,9888088.02,405,24415.032148148148
2025-01-02,10102822.31,400,25257.055775
2025-01-03,8612541.68,360,23923.726888888887
2025-01-04,10164851.39,402,25285.69997512438
2025-01-05,9881350.1,387,25533.204392764856
2025-01-06,8387171.21,343,24452.394198250728
2025-01-07,9526016.96,380,25068.46568421053
2025-01-08,10185902.81,406,25088.430566502466
2025-01-09,9674508.3,374,25867.6692513369
2025-01-10,7973084.14,349,22845.513295128938
2025-01-11,9993066.64,387,25821.87762273902
2025-01-12,9711613.7,381,25489.799737532805
2025-01-13,10122776.95,403,25118.55322580645
2025-01-14,9896762.59,399,24803.91626566416
2025-01-15,9325041.92,387,24095.715555555555
2025-01-16,11044568.24,410,26937.97131707317
2025-01-17,9485235.0,386,24573.147668393784
2025-01-18,9426425.63,348,27087.42997126437
2025-01-19,8792772.85,346,25412.638294797685
2025-01-20,9971719.96,401,24867.13206982544
2025-01-21,10431810.48,410,25443.44019512195
2025-01-22,9771963.56,382,25581.056439790576
2025-01-23,9769673.21,408,23945.2774754902
2025-01-24,11222488.2,435,25798.82344827586
2025-01-25,8255853.0200000005,351,23520.948774928776
2025-01-26,8434836.25,344,24519.872819767443
2025-01-27,10030107.65,397,25264.75478589421
2025-01-28,10230291.07,389,26298.94876606684
2025-01-29,9267025.03,369,25113.8889701897
2025-01-30,8020651.83,339,23659.739911504425
2025-01-31,9515787.52,369,25788.042059620595
2025-02-01,9447030.14,367,25741.22653950954
2025-02-02,9068763.9,366,24778.04344262295
2025-02-03,9299789.87,367,25340.026893732967
2025-02-04,9741625.65,371,26257.751078167115
2025-02-05,9871343.65,399,24740.209649122808
2025-02-06,9121521.93,353,25840.005467422096
2025-02-07,9941275.75,393,25295.867048346056
2025-02-08,9506163.29,376,25282.349175531912
2025-02-09,9258934.28,378,24494.53513227513
2025-02-10,10397218.55,399,26058.191854636592
2025-02-11,9171731.47,370,24788.463432432432
2025-02-12,9002990.26,375,24007.974026666667
2025-02-13,8833788.37,356,24814.012275280897
2025-02-14,9607109.54,396,24260.377626262623
2025-02-15,9227196.52,371,24871.149649595685
2025-02-16,9617489.81,398,24164.547261306532
2025-02-17,9058439.88,360,25162.333000000002
2025-02-18,10475580.69,409,25612.66672371638
2025-02-19,9754801.55,373,26152.282975871316
2025-02-20,9327286.31,364,25624.41293956044
2025-02-21,10138246.45,409,24787.888630806843
2025-02-22,9768213.12,401,24359.633715710723
2025-02-23,9896368.56,398,24865.247638190955
2025-02-24,9188784.87,374,24568.943502673796
2025-02-25,9495134.14,385,24662.68607792208
2025-02-26,9723467.41,367,26494.46160762943
2025-02-27,9530027.36,386,24689.19005181347
2025-02-28,9422325.42,371,25397.103557951483
2025-03-01,10175481.87,400,25438.704674999997
2025-03-02,8595480.73,364,23613.95804945055
2025-03-03,8826136.02,368,23984.065271739128
2025-03-04,9299404.17,353,26343.92116147309
2025-03-05,9458629.44,387,24440.902945736434
2025-03-06,9400154.69,378,24868.1341005291
2025-03-07,10380954.43,394,26347.60007614213
2025-03-08,9801678.36,397,24689.366146095716
2025-03-09,8922596.4,380,23480.516842105266
2025-03-10,10479089.93,413,25373.099104116223
2025-03-11,11347379.87,434,26146.036566820276
2025-03-12,9592409.78,384,24980.23380208333
2025-03-13,8342730.31,362,23046.21632596685
2025-03-14,8680441.38,360,24112.337166666668
2025-03-15,11017339.71,419,26294.366849642007
2025-03-16,9277361.22,368,25210.22070652174
2025-03-17,8482314.42,344,24657.890755813954
2025-03-18,9323261.79,373,24995.339919571044
2025-03-19,9279738.36,387,23978.652093023255
2025-03-20,10051235.23,398,25254.35987437186
2025-03-21,9662670.45,380,25428.080131578947
2025-03-22,10468827.32,404,25912.93891089109
2025-03-23,8348026.79,342,24409.435058479532
2025-03-24,10009809.7,391,25600.53631713555
2025-03-25,9071015.09,360,25197.264138888888
2025-03-26,9972400.89,402,24806.967388059704
2025-03-27,9065314.02,360,25181.42783333333
2025-03-28,10077831.97,384,26244.35408854167
2025-03-29,9757576.7,380,25677.83342105263
2025-03-30,9491800.52,367,25863.216675749318
2025-03-31,9624343.37,387,24869.104315245477
2025-04-01,10167336.58,396,25675.092373737374
2025-04-02,10007901.54,403,24833.50258064516
2025-04-03,9311207.16,384,24247.9353125
2025-04-04,9957056.39,399,24955.028546365917
2025-04-05,10968179.35,421,26052.682541567694
2025-04-06,9818898.99,405,24244.195037037036
2025-04-07,9826766.96,385,25524.07002597403
2025-04-08,9457224.42,368,25698.979402173914
2025-04-09,10254491.72,419,24473.72725536993
2025-04-10,9757246.4,396,24639.51111111111
2025-04-11,9243130.59,373,24780.510965147452
2025-04-12,9805033.62,392,25012.84086734694
2025-04-13,9627067.62,403,23888.505260545902
2025-04-14,9873184.51,400,24682.961274999998
2025-04-15,9549178.87,398,23992.91173366834
2025-04-16,8837862.17,350,25251.03477142857
