order_id,customer_id,order_date,status,total_amount,discount_amount,payment_method,warehouse_id,region,load_ts,landing_timestamp,bronze_ingestion_timestamp,load_date,quarantine_reason
ORD00000001,,2025-03-09 21:35:49,placed,18079.31,4993.93,debit_card,WH-CHE,North,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033428,CUST000978,2025-01-04 20:49:43,unknown,9669.74,2692.68,debit_card,WH-DEL,Central,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033430,CUST002126,2025-01-03 11:59:37,refunded,7037.65,1640.47,credit_card,WH-DEL,North,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033442,CUST008502,2025-03-14 15:20:37,refunded,45999.49,12602.75,net_banking,WH-CHE,West,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033444,CUST003163,2025-02-18 18:24:41,refunded,22015.32,2147.33,UPI,WH-CHE,South,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033409,CUST002530,2025-01-16 04:55:41,PENDING,3441.64,140.17,debit_card,WH-DEL,South,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033415,CUST004281,2025-01-20 09:34:51,PENDING,14898.64,435.63,debit_card,WH-MUM,North,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033420,CUST001659,2025-02-16 07:05:48,refunded,34541.05,471.32,UPI,WH-BLR,East,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033487,CUST008420,2025-01-18 04:20:13,PENDING,15178.63,3207.07,debit_card,WH-CHE,South,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033475,CUST006930,2025-03-21 06:20:09,PENDING,18303.69,3708.45,net_banking,WH-CHE,Central,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033456,CUST003550,2025-03-28 16:34:28,refunded,44331.21,11587.21,debit_card,WH-HYD,West,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033460,CUST008591,2025-04-05 00:40:42,unknown,1070.1,242.22,net_banking,WH-MUM,Central,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033467,CUST007995,2025-04-02 11:02:59,refunded,11925.48,609.29,UPI,WH-DEL,East,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033468,CUST007222,2025-03-14 14:02:47,unknown,7448.66,671.48,credit_card,WH-CHE,West,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033471,CUST002655,2025-02-14 19:29:35,unknown,13221.78,195.64,net_banking,WH-BLR,East,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033401,,2025-03-14 00:44:13,delivered,9198.57,1543.77,net_banking,WH-MUM,South,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033331,CUST009555,2025-04-13 08:30:51,refunded,11904.7,3354.26,UPI,WH-MUM,Central,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033335,CUST000379,2025-04-02 15:26:30,unknown,25570.11,3909.61,net_banking,WH-HYD,North,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033337,CUST004673,2025-04-06 23:16:59,unknown,10447.3,754.65,debit_card,WH-BLR,West,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033340,CUST000024,2025-01-31 20:01:28,refunded,41844.82,10803.06,debit_card,WH-MUM,North,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033345,CUST008932,2025-03-22 05:05:27,PENDING,26085.07,938.21,COD,WH-CHE,Central,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033350,CUST000560,2025-01-18 01:58:22,unknown,46454.2,6118.88,debit_card,WH-MUM,North,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033328,CUST009306,2025-02-05 21:24:42,unknown,11455.56,850.93,debit_card,WH-CHE,West,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033321,CUST005198,2025-02-24 13:42:54,refunded,30685.77,4760.26,debit_card,WH-CHE,North,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033322,CUST006664,2025-02-02 07:44:34,refunded,38799.04,10905.18,COD,WH-HYD,South,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033386,CUST005102,2025-01-11 13:09:14,unknown,35899.17,8132.56,COD,WH-MUM,South,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033389,CUST005217,2025-04-11 17:03:21,PENDING,32421.13,6220.82,net_banking,WH-DEL,South,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
ORD00033391,CUST005562,2025-04-03 18:33:01,refunded,35037.44,5442.8,UPI,WH-DEL,West,2025-04-17 06:00:00,2026-08-09T01:23:51.516329,2026-08-09T01:23:51.516329,2026-08-09,"Invalid status, amount, or null customer_id"
