item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM_000001,ORD_00001,PROD_005,5,197.01,20
ITEM_000002,ORD_00002,PROD_034,2,529.41,0
ITEM_000003,ORD_00002,PROD_013,2,504.63,5
ITEM_000004,ORD_00002,PROD_024,1,427.21,10
ITEM_000005,ORD_00002,PROD_033,3,247.21,0
ITEM_000006,ORD_00003,PROD_039,2,275.97,15
ITEM_000007,ORD_00004,PROD_017,3,453.14,0
ITEM_000008,ORD_00004,PROD_004,-3,110.3,20
ITEM_000009,ORD_00004,PROD_042,2,146.69,5
ITEM_000010,ORD_00005,PROD_050,4,580.78,0
ITEM_000011,ORD_00005,PROD_042,4,116.32,0
ITEM_000012,ORD_00005,PROD_020,2,431.95,10
ITEM_000013,ORD_00006,PROD_030,4,162.42,15
ITEM_000014,ORD_00006,PROD_040,3,247.33,0
ITEM_000015,ORD_00006,PROD_043,1,580.39,10
ITEM_000016,ORD_00006,PROD_039,5,180.37,0
ITEM_000017,ORD_00007,PROD_018,1,389.75,10
ITEM_000018,ORD_00007,PROD_042,3,189.79,5
ITEM_000019,ORD_00007,PROD_004,5,486.18,20
ITEM_000020,ORD_00007,PROD_044,4,96.86,0
ITEM_000021,ORD_00008,PROD_027,3,251.69,0
ITEM_000022,ORD_00008,PROD_037,5,492.37,10
ITEM_000023,ORD_00008,PROD_041,2,474.16,10
ITEM_000024,ORD_00008,PROD_011,5,506.77,20
ITEM_000025,ORD_00009,PROD_009,3,448.44,20
ITEM_000026,ORD_00009,PROD_022,2,397.84,5
ITEM_000027,ORD_00010,PROD_020,2,260.98,10
ITEM_000028,ORD_00010,PROD_019,3,286.3,0
ITEM_000029,ORD_00010,PROD_041,4,356.39,20
ITEM_000030,ORD_00011,PROD_033,4,85.09,15
ITEM_000031,ORD_00012,PROD_010,4,95.36,5
ITEM_000032,ORD_00012,PROD_037,3,537.31,15
ITEM_000033,ORD_00012,PROD_046,2,120.51,0
ITEM_000034,ORD_00013,PROD_012,3,198.35,0
ITEM_000035,ORD_00013,PROD_014,1,460.3,5
ITEM_000036,ORD_00013,PROD_032,5,474.35,0
ITEM_000037,ORD_00013,PROD_041,2,266.2,15
ITEM_000038,ORD_00014,PROD_035,-4,131.66,10
ITEM_000039,ORD_00014,PROD_049,1,502.44,5
ITEM_000040,ORD_00014,PROD_041,1,444.16,5
ITEM_000041,ORD_00014,PROD_007,3,239.38,20
ITEM_000042,ORD_00015,PROD_003,2,189.45,10
ITEM_000043,ORD_00015,PROD_039,4,321.61,15
ITEM_000044,ORD_00015,PROD_032,2,225.16,5
ITEM_000045,ORD_00016,PROD_015,-4,440.39,5
ITEM_000046,ORD_00016,PROD_038,2,310.21,0
ITEM_000047,ORD_00017,PROD_041,1,164.64,20
ITEM_000048,ORD_00017,PROD_004,5,402.25,0
ITEM_000049,ORD_00017,PROD_027,1,274.92,0
ITEM_000050,ORD_00018,PROD_014,4,421.69,0
ITEM_000051,ORD_00018,PROD_007,3,402.55,10
ITEM_000052,ORD_00018,PROD_009,5,260.01,0
ITEM_000053,ORD_00019,PROD_007,3,306.18,20
ITEM_000054,ORD_00020,PROD_013,3,224.38,15
ITEM_000055,ORD_00020,PROD_036,3,305.37,5
ITEM_000056,ORD_00021,PROD_001,3,407.91,0
ITEM_000057,ORD_00021,PROD_010,5,570.43,20
ITEM_000058,ORD_00021,PROD_007,1,544.3,5
ITEM_000059,ORD_00021,PROD_019,4,169.51,0
ITEM_000060,ORD_00022,PROD_019,2,225.73,10
ITEM_000061,ORD_00023,PROD_049,1,535.82,0
ITEM_000062,ORD_00023,PROD_011,2,207.27,15
ITEM_000063,ORD_00023,PROD_047,5,69.38,10
ITEM_000064,ORD_00023,PROD_026,2,577.95,10
ITEM_000065,ORD_00024,PROD_042,4,533.38,5
ITEM_000066,ORD_00024,PROD_047,1,49.31,5
ITEM_000067,ORD_00024,PROD_038,1,297.36,20
ITEM_000068,ORD_00024,PROD_025,4,470.81,20
ITEM_000069,ORD_00025,PROD_032,2,81.07,15
ITEM_000070,ORD_00026,PROD_042,1,198.83,20
ITEM_000071,ORD_00026,PROD_015,5,587.07,10
