product_id,title,rating,initial_price,discount,category,total_amount
9136281,Tommy Hilfiger,4.5,2899,35.0,backpacks,2899
17633752,Lavie,4.4,2999,65.0,backpacks,2999
1376949,F Gear,4.4,1675,52.0,backpacks,1675
13939916,MYTRIDENT,4.7,2899,17.0,bath-robe,2899
17198778,H&M,4.5,1399,0.0,bathroom-accessories,1399
18602872,My Room,4.7,2999,54.0,bedsheets,2999
18602850,My Room,4.5,2999,54.0,bedsheets,2999
8430275,MYTRIDENT,4.4,2199,46.0,bedsheets,2199
19788630,Home Ecstasy,4.5,1199,42.0,bedsheets,1199
18346134,Arrabi,4.3,6329,76.0,bedsheets,6329
18985918,Tommy Hilfiger,4.1,2999,40.0,bodysuit,2999
22120138,Ed-a-Mamma Baby,4.2,999,30.0,bodysuit,999
21427828,London Rag,5.0,9599,60.0,boots,9599
17372928,The Souled Store,4.5,799,54.0,boxers,799
15115018,Jockey,4.4,579,0.0,bra,579
19219450,Susie,4.3,749,50.0,bra,749
22196924,Zivame,4.3,999,50.0,bra,999
19277544,Marks & Spencer,4.3,2999,60.0,bra,2999
18223842,max,4.1,449,20.0,bra,449
18656766,VStar,4.6,345,0.0,bra,345
18656764,VStar,4.3,345,0.0,bra,345
13523458,shyaway,4.3,2547,52.0,bra,2547
18652628,max,4.2,649,20.0,bra,649
17774350,Zivame,4.2,995,50.0,bra,995
16704504,ZINU,4.1,699,45.0,bracelet,699
21873792,KARATCART,4.6,3397,76.0,bracelet,3397
21573578,Jewels Galaxy,4.2,1329,77.0,bracelet,1329
16696094,Van Heusen,4.6,649,0.0,briefs,649
21867416,DressBerry,4.1,299,28.0,briefs,299
21850852,Soie,4.9,390,5.0,briefs,390
21569986,Chromozome,4.2,1199,40.0,briefs,1199
22196594,Zoiro,5.0,499,0.0,briefs,499
22196914,Zivame,4.6,799,50.0,briefs,799
21906602,bummer,4.6,599,25.0,briefs,599
13889998,XYXX,4.1,249,0.0,briefs,249
22436508,Bruchi CLUB,5.0,888,65.0,briefs,888
18882294,VStar,4.8,265,0.0,camisoles,265
16281444,Bharatasya,4.3,699,68.0,caps,699
18506050,Bata,4.4,1199,55.0,casual-shoes,1199
21903832,U.S. Polo Assn.,4.1,4299,25.0,casual-shoes,4299
21321784,San Frissco,4.3,5995,72.0,casual-shoes,5995
21497770,Puma,4.1,4999,55.0,casual-shoes,4999
18489168,TOMS,4.3,4999,0.0,casual-shoes,4999
17312062,Clarks,4.6,6999,50.0,casual-shoes,6999
16284648,Crew STREET,4.1,3099,55.0,casual-shoes,3099
19103830,PUMA Motorsport,4.5,6999,55.0,casual-shoes,6999
21937664,Cortina,4.7,2598,64.0,chair-cover,2598
16712992,Cutiekins,4.1,1999,70.0,clothing-set,1999
