product_id,product_name,category,subcategory,cost_price
PROD_001,Surface Decor,Home,Decor,436.95
PROD_002,Building Men,Clothing,Men,205.25
PROD_003,Ground Furniture,Home,Furniture,146.77
PROD_004,Full History,Books,History,272.75
PROD_005,Sign Mobiles,Electronics,Mobiles,138.0
PROD_006, Represent Furniture ,Home,Furniture,222.94
PROD_007,Eight Decor,Home,Decor,260.6
PROD_008, Growth History ,Books,History,31.75
PROD_009,In Fiction,Books,Fiction,405.19
PROD_010,Third Women,Clothing,Women,474.95
PROD_011,Box Kitchen,Home,Kitchen,425.53
PROD_012,Throughout Kitchen,Home,Kitchen,210.11
PROD_013,Boy History,Books,History,72.37
PROD_014,Prepare History,Books,History,341.89
PROD_015,Box Kids,Clothing,Kids,208.98
PROD_016,Bar Laptops,Electronics,Laptops,220.65
PROD_017,Grow Decor,Home,Decor,341.06
PROD_018, Simply History ,Books,History,51.55
PROD_019,Around Furniture,Home,Furniture,378.06
PROD_020,Threat Furniture,Home,Furniture,82.2
PROD_021,Force Mobiles,Electronics,Mobiles,309.52
PROD_022,Find Laptops,Electronics,Laptops,318.59
PROD_023,Now Kids,Clothing,Kids,252.24
PROD_024,Impact Men,Clothing,Men,12.72
PROD_025,Contain Laptops,Electronics,Laptops,404.01
PROD_026,Show Fiction,Books,Fiction,459.56
PROD_027, Lead Laptops ,Electronics,Laptops,237.68
PROD_028,Continue Decor,Home,Decor,362.44
PROD_029,Money History,Books,History,87.99
PROD_030,Simply Tech,Books,Tech,131.15
PROD_031,List Kitchen,Home,Kitchen,127.23
PROD_032,Today Fiction,Books,Fiction,124.9
PROD_033,Upon Decor,Home,Decor,49.48
PROD_034,Particular Men,Clothing,Men,84.87
PROD_035,Lead Men,Clothing,Men,172.13
PROD_036, Learn Tech ,Books,Tech,418.12
PROD_037,Describe History,Books,History,19.57
PROD_038, Range Tech ,Books,Tech,182.36
PROD_039,Risk Tech,Books,Tech,369.97
PROD_040,Lose Women,Clothing,Women,223.56
PROD_041,Require Laptops,Electronics,Laptops,342.78
PROD_042, Accept History ,Books,History,239.02
PROD_043,Finish Kids,Clothing,Kids,454.4
PROD_044,Inside Mobiles,Electronics,Mobiles,76.49
PROD_045, Break Fiction ,Books,Fiction,195.76
PROD_046,Must Women,Clothing,Women,383.0
PROD_047,So Tech,Books,Tech,417.64
PROD_048,May Furniture,Home,Furniture,377.02
PROD_049,Truth Laptops,Electronics,Laptops,43.62
PROD_050,Set Mobiles,Electronics,Mobiles,107.69
